"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.830183486E0,-8.797047138E-1,-1.111046314E0,-7.850723267E-1,1.620074953E0
4.850015883E0,-5.978756547E-1,-8.821179867E-1,5.158157349E-1,1.183914403E0
4.869838495E0,4.308911264E-1,-7.397129536E-1,1.411814690E0,1.651079385E0
4.889660334E0,1.151836395E0,-9.756195545E-1,6.163406372E-1,1.630471213E0
4.909482438E0,1.814998627E0,-2.011839867E0,3.336763382E-1,2.730029224E0
4.929304704E0,1.854900360E0,-2.014338970E0,1.553624153E0,3.148327309E0
4.949124386E0,7.735859752E-1,-7.815937996E-1,9.904127121E-1,1.479946441E0
4.968948402E0,5.907549858E-1,-3.424689770E-1,3.010749817E-3,6.828510219E-1
4.988770526E0,8.343892694E-1,-1.098748922E0,-1.360025406E-1,1.386344596E0
5.008582009E0,1.226366758E0,-1.605039239E0,1.112759590E0,2.306157039E0
5.028415139E0,1.819655657E0,-1.887500525E0,1.155239105E0,2.865027457E0
5.048236917E0,2.038665056E0,-1.676482916E0,3.217344284E-1,2.658996657E0
5.068059162E0,2.419356823E0,-1.335431337E0,3.536233902E-1,2.785985247E0
5.087880757E0,2.409944773E0,-1.272413492E0,2.914810181E-2,2.725384287E0
5.107702739E0,1.840896964E0,-8.835704327E-1,-6.307096481E-1,2.137145995E0
5.127525005E0,7.032977343E-1,-9.401865005E-1,-6.954402924E-1,1.364630191E0
5.147347332E0,3.087637424E-1,-1.355969667E0,-1.585633278E0,2.109080766E0
5.167158978E0,2.199172974E-3,-1.446900845E0,-6.790752411E-1,1.598333530E0
5.186991600E0,8.906583786E-1,-1.749805570E0,-8.509855270E-1,2.139922486E0
5.206813621E0,3.110983372E-1,-1.125168324E0,-2.980613708E-1,1.204834641E0
5.226635847E0,3.408455849E-1,-8.523712158E-1,1.892374039E0,2.103281223E0
5.246457767E0,-4.920114279E-1,-9.452056885E-1,2.360633850E0,2.589996373E0
5.266279809E0,7.491791248E-2,-4.978585243E-1,6.086854935E-1,7.899201439E-1
5.286101811E0,6.061569452E-1,1.084917545E0,-2.140064240E-1,1.261059504E0
5.305913009E0,-8.536899090E-1,2.963185072E0,-9.838886261E-1,3.236864078E0
5.325745834E0,-9.806956053E-1,3.233359814E0,-1.039413452E0,3.535075654E0
5.345552150E0,-6.760213971E-1,2.362842321E0,-1.042920113E0,2.669777355E0
5.365390184E0,-5.147558451E-1,1.831376553E-1,-1.942341805E0,2.017722644E0
5.385212389E0,-5.372679234E-1,-1.887248516E0,-1.651206970E0,2.564536652E0
5.405013862E0,-1.367734671E-1,-2.030432701E0,-8.729629517E-1,2.214368589E0
5.424856168E0,1.067275882E0,-1.222754121E0,9.140405655E-1,1.862706526E0
5.444678231E0,3.930608034E-1,7.271385193E-2,1.798300743E0,1.842191538E0
5.464490162E0,7.674601078E-1,7.698311806E-1,3.201344490E0,3.380864033E0
5.484322662E0,7.414273024E-1,1.092477322E0,2.197222710E0,2.563397897E0
5.504139780E0,1.124231815E0,5.280270576E-1,-2.148141861E-1,1.260497871E0
5.523945323E0,1.584632874E0,-3.464212418E-1,-2.565943718E0,3.035644278E0
5.543788890E0,1.696920633E0,-6.536667347E-1,-9.094123840E-1,2.033187330E0
5.563611320E0,9.568321705E-1,-5.851297379E-1,-5.435504913E-1,1.246335328E0
5.583433016E0,1.734957546E-1,1.254694462E-1,-6.132678986E-1,6.495697608E-1
5.603252292E0,1.593360156E-1,5.207018852E-1,6.116456985E-1,8.189193365E-1
5.623076898E0,-1.673656106E-1,-1.630480289E-1,-5.291175842E-2,2.395737079E-1
5.642899163E0,3.354870975E-1,-1.729600430E-1,8.985805511E-2,3.879964421E-1
5.662730341E0,5.504123569E-1,-2.617355585E-1,1.275806427E-1,6.226845795E-1
5.682543167E0,6.817771792E-1,-7.862043381E-2,7.178134918E-1,9.931049813E-1
5.702354996E0,6.243808866E-1,-2.281578779E-1,6.966600418E-1,9.629344332E-1
5.722187394E0,7.220180035E-1,-2.452366352E-1,3.143167496E-1,8.247702854E-1
5.741998836E0,1.460571289E0,-2.226889133E-1,7.042980194E-1,1.636732887E0
5.761831662E0,2.331943989E0,-2.809989452E-1,1.287533760E0,2.678556768E0
5.781657041E0,2.657349110E0,-1.485879421E-1,-4.749469757E-1,2.703545320E0
5.801471067E0,1.538935184E0,2.918338776E-2,-1.216300011E0,1.961774423E0
5.821297687E0,7.184420824E-1,-2.829837799E-2,-8.985271454E-1,1.150787059E0
5.841119851E0,1.256574512E0,4.253945351E-1,1.021664619E0,1.674436803E0
5.860941771E0,2.509568453E0,1.167531013E-1,5.626993179E-1,2.574528234E0
5.880764241E0,2.081953764E0,-6.159144640E-1,1.723592758E0,2.772120866E0
5.900586283E0,9.798290730E-1,-2.976019382E-1,3.084350586E0,3.249900070E0
5.920408305E0,5.141123533E-1,-1.429798603E-1,9.974308014E-1,1.131204206E0
5.940233399E0,1.277720928E-1,-1.751914024E-1,-4.503450394E-1,4.998283602E-1
5.960052186E0,-1.419484615E-1,-2.844831944E-1,2.628707886E-2,3.190157741E-1
5.979874310E0,6.824309826E-1,-3.163582087E-1,1.893577576E-1,7.756616031E-1
5.999696658E0,1.913935304E0,-6.910586357E-2,-8.569726944E-1,2.098172101E0
6.019508303E0,1.951107621E0,-4.842851162E-1,-6.752347946E-1,2.120682685E0
6.039340783E0,1.305799484E-1,-4.823284149E-1,1.952819824E-1,5.364949911E-1
6.059162683E0,-1.067437887E0,-1.979537010E-1,2.349643707E-1,1.110773409E0
6.078984684E0,-3.801991940E-1,-3.158425093E-1,-1.051115990E0,1.161530345E0
6.098803756E0,5.447975397E-1,-6.653946638E-1,-1.775186062E0,1.972521222E0
6.118629318E0,1.670272350E-1,-7.129815817E-1,-1.274798393E0,1.470153657E0
6.138451320E0,-6.595903635E-1,-5.686727762E-1,-1.789598465E-1,8.890864979E-1
6.158273220E0,-2.164028883E-1,-2.649142742E-1,-1.405524254E0,1.446550452E0
6.178095323E0,-3.143407106E-1,1.727898121E-1,4.932377815E0,4.945403655E0
6.197917569E0,2.011870623E0,-5.071947575E-1,-6.885766983E-1,2.186094187E0
